"Sex","Cancer","Age","Case","PY"
1,26,18,4,75378
1,26,19,0,0
2,26,1,0,143800
2,26,2,0,155840
2,26,3,0,174035
2,26,4,0,170466
2,26,5,0,158539
2,26,6,0,177253
2,26,7,0,200856
2,26,8,0,227309
2,26,9,0,222142
2,26,10,0,225296
2,26,11,0,247852
2,26,12,3,286215
2,26,13,5,291631
2,26,14,3,238433
2,26,15,2,240090
2,26,16,4,232774
2,26,17,1,196259
2,26,18,2,213970
2,26,19,0,0
1,27,1,0,150117
1,27,2,0,162752
1,27,3,0,182820
1,27,4,0,175331
1,27,5,0,148497
1,27,6,0,167863
1,27,7,0,190927
1,27,8,1,214001
1,27,9,2,203302
1,27,10,7,209245
1,27,11,27,234433
1,27,12,79,275263
1,27,13,98,273099
1,27,14,108,197596
1,27,15,95,185939
1,27,16,81,164562
1,27,17,37,114258
1,27,18,11,75378
1,27,19,0,0
2,27,1,0,143800
2,27,2,0,155840
2,27,3,0,174035
2,27,4,0,170466
2,27,5,0,158539
2,27,6,0,177253
2,27,7,0,200856
2,27,8,1,227309
2,27,9,1,222142
2,27,10,5,225296
2,27,11,5,247852
2,27,12,15,286215
2,27,13,13,291631
2,27,14,20,238433
2,27,15,9,240090
2,27,16,12,232774
2,27,17,10,196259
2,27,18,13,213970
2,27,19,0,0
1,28,1,0,150117
1,28,2,0,162752
1,28,3,0,182820
1,28,4,0,175331
1,28,5,0,148497
1,28,6,0,167863
1,28,7,0,190927
1,28,8,0,214001
1,28,9,3,203302
1,28,10,6,209245
1,28,11,11,234433
1,28,12,32,275263
1,28,13,37,273099
1,28,14,33,197596
1,28,15,40,185939
1,28,16,25,164562
1,28,17,9,114258
1,28,18,10,75378
1,28,19,0,0
2,28,1,0,143800
2,28,2,0,155840
2,28,3,0,174035
2,28,4,0,170466
2,28,5,0,158539
2,28,6,0,177253
2,28,7,0,200856
2,28,8,0,227309
2,28,9,1,222142
2,28,10,1,225296
2,28,11,2,247852
2,28,12,5,286215
2,28,13,9,291631
2,28,14,4,238433
2,28,15,0,240090
2,28,16,5,232774
2,28,17,1,196259
2,28,18,6,213970
2,28,19,0,0
1,29,1,0,150117
1,29,2,0,162752
1,29,3,0,182820
1,29,4,0,175331
1,29,5,0,148497
1,29,6,0,167863
1,29,7,1,190927
1,29,8,0,214001
1,29,9,0,203302
1,29,10,1,209245
1,29,11,2,234433
1,29,12,6,275263
1,29,13,8,273099
1,29,14,12,197596
1,29,15,12,185939
1,29,16,13,164562
1,29,17,12,114258
1,29,18,11,75378
1,29,19,0,0
2,29,1,0,143800
2,29,2,0,155840
2,29,3,0,174035
2,29,4,0,170466
2,29,5,0,158539
2,29,6,0,177253
2,29,7,0,200856
2,29,8,0,227309
2,29,9,0,222142
2,29,10,0,225296
2,29,11,0,247852
2,29,12,0,286215
2,29,13,3,291631
2,29,14,0,238433
2,29,15,2,240090
2,29,16,2,232774
2,29,17,6,196259
2,29,18,9,213970
2,29,19,0,0
1,30,1,0,150117
1,30,2,0,162752
1,30,3,0,182820
1,30,4,0,175331
1,30,5,2,148497
1,30,6,2,167863
1,30,7,4,190927
1,30,8,13,214001
1,30,9,41,203302
1,30,10,81,209245
1,30,11,163,234433
1,30,12,421,275263
1,30,13,612,273099
1,30,14,659,197596
1,30,15,861,185939
1,30,16,984,164562
1,30,17,731,114258
1,30,18,438,75378
1,30,19,0,0
2,30,1,0,143800
2,30,2,0,155840
2,30,3,0,174035
2,30,4,0,170466
2,30,5,0,158539
2,30,6,4,177253
2,30,7,8,200856
2,30,8,13,227309
2,30,9,28,222142
2,30,10,66,225296
2,30,11,86,247852
2,30,12,157,286215
2,30,13,181,291631
2,30,14,204,238433
2,30,15,346,240090
2,30,16,401,232774
2,30,17,399,196259
2,30,18,533,213970
2,30,19,0,0
1,31,1,0,150117
1,31,2,0,162752
1,31,3,0,182820
1,31,4,0,175331
1,31,5,0,148497
1,31,6,0,167863
1,31,7,1,190927
1,31,8,2,214001
1,31,9,3,203302
1,31,10,9,209245
1,31,11,15,234433
1,31,12,45,275263
1,31,13,54,273099
1,31,14,62,197596
1,31,15,84,185939
1,31,16,105,164562
1,31,17,77,114258
1,31,18,47,75378
1,31,19,0,0
2,31,1,0,143800
2,31,2,0,155840
2,31,3,0,174035
2,31,4,0,170466
2,31,5,0,158539
2,31,6,0,177253
2,31,7,0,200856
2,31,8,1,227309
2,31,9,1,222142
2,31,10,4,225296
2,31,11,2,247852
2,31,12,12,286215
2,31,13,16,291631
2,31,14,13,238433
2,31,15,23,240090
2,31,16,29,232774
2,31,17,26,196259
2,31,18,36,213970
2,31,19,0,0
1,32,1,0,150117
1,32,2,0,162752
1,32,3,0,182820
1,32,4,0,175331
1,32,5,0,148497
1,32,6,0,167863
1,32,7,0,190927
1,32,8,0,214001
1,32,9,0,203302
1,32,10,0,209245
1,32,11,1,234433
1,32,12,1,275263
1,32,13,8,273099
1,32,14,4,197596
1,32,15,9,185939
1,32,16,8,164562
1,32,17,12,114258
1,32,18,2,75378
1,32,19,0,0
2,32,1,0,143800
2,32,2,0,155840
2,32,3,0,174035
2,32,4,0,170466
2,32,5,0,158539
2,32,6,0,177253
2,32,7,0,200856
2,32,8,0,227309
2,32,9,0,222142
2,32,10,1,225296
2,32,11,1,247852
2,32,12,0,286215
2,32,13,2,291631
2,32,14,2,238433
2,32,15,3,240090
2,32,16,2,232774
2,32,17,1,196259
2,32,18,0,213970
2,32,19,0,0
1,33,1,0,150117
1,33,2,0,162752
1,33,3,0,182820
1,33,4,0,175331
1,33,5,1,148497
1,33,6,2,167863
1,33,7,1,190927
1,33,8,5,214001
1,33,9,24,203302
1,33,10,43,209245
1,33,11,80,234433
1,33,12,203,275263
1,33,13,278,273099
1,33,14,255,197596
1,33,15,363,185939
1,33,16,389,164562
1,33,17,252,114258
1,33,18,145,75378
1,33,19,0,0
2,33,1,0,143800
2,33,2,0,155840
2,33,3,0,174035
2,33,4,0,170466
2,33,5,0,158539
2,33,6,3,177253
2,33,7,5,200856
2,33,8,10,227309
2,33,9,20,222142
2,33,10,40,225296
2,33,11,62,247852
2,33,12,87,286215
2,33,13,81,291631
2,33,14,105,238433
2,33,15,160,240090
2,33,16,155,232774
2,33,17,152,196259
2,33,18,143,213970
2,33,19,0,0
1,34,1,0,150117
1,34,2,0,162752
1,34,3,0,182820
1,34,4,0,175331
1,34,5,0,148497
1,34,6,0,167863
1,34,7,1,190927
1,34,8,3,214001
1,34,9,9,203302
1,34,10,19,209245
